STATION_CODE,YEAR,LATITUDE,LONGITUDE,ELEVATION,STATE,CITY,PREP,SNOW,SNWD,TMAX,TMIN,AWDR,AWND,EVAP,WSFG
ACW00011604,1949,NA,NA,NA,NA,NA,NA,   0,   0, 267, 211,NA,NA,NA, 125
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,278,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,272,222,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,267,206,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,278,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,278,233,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,278,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,267,233,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,278,206,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,267,211,NA,NA,NA,107
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,272,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,267,222,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,261,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,261,217,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,261,206,NA,NA,NA,134
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,267,200,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,278,222,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,272,228,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,278,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,278,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,283,217,NA,NA,NA,148
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,272,200,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,272,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,267,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,267,200,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,267,211,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,267,217,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,  0,  0,272,222,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,
ACW00011604,1949,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,
